floors,bathrooms,kitchens,location,quality,cost
1.0,7.0,3.0,0,2,320939.51
1.0,2.0,3.0,1,2,157505.05
2.0,1.0,4.0,1,1,174684.73
6.0,2.0,4.0,0,0,259119.5
8.0,6.0,2.0,1,1,1722277.64
2.0,6.0,3.0,2,1,650588.37
4.0,7.0,4.0,1,0,809852.51
2.0,5.0,2.0,1,0,282767.03
3.0,5.0,4.0,2,0,510680.08
6.0,3.0,1.0,2,0,594945.42
9.0,1.0,4.0,1,2,565617.48
2.0,1.0,1.0,1,0,72985.14
5.0,4.0,1.0,2,1,949733.58
3.0,6.0,4.0,2,0,712487.49
9.0,2.0,4.0,1,0,461609.44
5.0,2.0,2.0,0,2,383133.89
7.0,6.0,3.0,0,0,811289.53
3.0,1.0,3.0,0,0,86950.17
2.0,2.0,1.0,0,2,159136.05
3.0,1.0,2.0,2,2,254035.9
7.0,6.0,4.0,2,0,1371979.73
8.0,2.0,4.0,0,1,456342.01
3.0,3.0,4.0,2,0,385357.85
2.0,2.0,4.0,0,2,243952.89
3.0,6.0,3.0,0,0,374619.52
5.0,5.0,1.0,0,1,679108.63
1.0,3.0,1.0,2,2,213137.67
9.0,3.0,1.0,1,1,1146924.75
9.0,3.0,1.0,0,0,501462.9
6.0,3.0,1.0,1,0,414025.47
3.0,5.0,4.0,2,0,582612.77
7.0,2.0,4.0,2,1,875217.05
3.0,2.0,2.0,1,0,165974.01
1.0,5.0,2.0,1,1,225948.59
7.0,1.0,1.0,0,2,295585.77
8.0,1.0,2.0,0,1,290863.14
3.0,2.0,1.0,0,2,232374.7
7.0,6.0,4.0,0,2,1719470.14
7.0,4.0,3.0,0,2,1230141.01
6.0,6.0,2.0,1,2,1681454.58
1.0,5.0,1.0,1,2,263258.53
7.0,5.0,1.0,0,2,1176529.5
1.0,5.0,3.0,0,2,220580.11
3.0,7.0,3.0,1,1,832251.54
3.0,6.0,1.0,1,2,751075.52
3.0,1.0,3.0,1,1,155397.93
1.0,5.0,2.0,1,2,281338.61
1.0,1.0,3.0,1,0,73990.59
4.0,2.0,4.0,2,1,490518.57
1.0,4.0,2.0,2,2,285556.63
3.0,3.0,1.0,0,1,278704.94
6.0,2.0,4.0,0,2,525788.54
1.0,2.0,1.0,1,1,96829.8
6.0,6.0,2.0,0,2,1349585.23
8.0,3.0,3.0,0,0,510826.04
4.0,4.0,4.0,0,0,344443.96
1.0,3.0,4.0,2,2,280365.48
5.0,5.0,1.0,1,1,881160.96
7.0,2.0,3.0,2,2,764389.13
2.0,6.0,2.0,2,2,791329.48
5.0,3.0,4.0,2,2,968261.15
9.0,5.0,4.0,2,1,2354023.58
9.0,6.0,3.0,1,0,1451966.61
3.0,5.0,3.0,2,0,504877.3
9.0,7.0,2.0,0,2,1925158.67
8.0,2.0,3.0,2,1,849480.5
8.0,3.0,1.0,2,2,1585318.81
2.0,2.0,2.0,2,2,370758.71
6.0,6.0,3.0,2,0,1354369.99
1.0,6.0,3.0,1,1,265143.97
5.0,3.0,4.0,2,0,699990.44
7.0,4.0,3.0,2,2,2051952.05
4.0,3.0,3.0,2,2,781622.16
3.0,6.0,1.0,1,1,659964.06
3.0,4.0,1.0,1,1,454393.63
9.0,4.0,3.0,0,1,1147496.37
1.0,3.0,3.0,0,1,119710.52
9.0,1.0,3.0,2,2,644033.29
3.0,3.0,2.0,2,0,352066.88
5.0,5.0,2.0,2,0,863363.54
3.0,7.0,1.0,1,1,764953.65
6.0,5.0,2.0,2,2,2128191.81
8.0,7.0,3.0,2,2,3337600.4
1.0,3.0,1.0,1,0,92711.48
1.0,5.0,3.0,2,1,292271.12
3.0,6.0,2.0,1,0,525441.48
1.0,5.0,2.0,2,0,220055.55
7.0,2.0,2.0,0,0,313233.02
3.0,5.0,1.0,1,0,367368.04
8.0,3.0,4.0,0,1,756535.37
5.0,5.0,3.0,0,2,974793.13
5.0,4.0,4.0,0,2,737393.41
9.0,1.0,1.0,1,0,264534.05
1.0,4.0,1.0,1,1,163821.95
8.0,5.0,4.0,2,1,2099846.96
3.0,4.0,1.0,1,0,321035.56
4.0,6.0,4.0,1,2,1321203.27
7.0,7.0,4.0,1,2,2097681.85
9.0,5.0,2.0,0,0,780798.14
1.0,7.0,1.0,0,0,161584.89
4.0,7.0,3.0,1,1,1074194.99
3.0,2.0,1.0,0,1,204468.68
4.0,3.0,2.0,0,2,545883.25
7.0,3.0,4.0,1,1,832455.2
2.0,3.0,3.0,1,2,377936.99
4.0,3.0,3.0,2,1,691280.63
8.0,3.0,2.0,1,1,831462.12
6.0,2.0,1.0,2,2,766089.56
2.0,7.0,2.0,2,0,515037.06
8.0,7.0,2.0,1,2,2550436.05
8.0,2.0,4.0,0,2,639649.71
2.0,2.0,1.0,2,0,147926.92
1.0,7.0,4.0,2,2,598701.38
7.0,5.0,3.0,1,2,1653093.26
3.0,7.0,1.0,2,0,712222.13
7.0,3.0,2.0,1,1,653630.27
6.0,2.0,4.0,0,0,303089.41
9.0,7.0,3.0,1,2,3029723.88
8.0,5.0,2.0,2,1,1862095.01
4.0,4.0,2.0,1,2,776326.28
8.0,4.0,3.0,1,1,1245776.46
3.0,3.0,4.0,1,2,491050.79
8.0,6.0,3.0,1,1,1820260.54
8.0,4.0,2.0,1,0,922729.36
3.0,5.0,2.0,1,1,502856.0
9.0,2.0,2.0,2,2,1006205.26
7.0,4.0,2.0,0,0,580195.5
2.0,2.0,4.0,0,1,205769.49
7.0,1.0,3.0,2,1,439672.0
8.0,5.0,2.0,2,0,1311216.41
7.0,5.0,2.0,1,2,1719057.0
1.0,5.0,3.0,2,0,247877.83
3.0,7.0,4.0,1,0,572979.78
7.0,3.0,2.0,2,1,1019347.4
5.0,7.0,1.0,2,2,2145597.57
9.0,3.0,1.0,2,2,1792921.55
1.0,2.0,3.0,0,0,99125.48
7.0,7.0,3.0,2,0,1706711.11
6.0,7.0,2.0,0,2,1663862.09
7.0,5.0,1.0,0,2,1349118.11
8.0,5.0,4.0,0,0,933000.9
2.0,5.0,1.0,0,2,412169.72
8.0,6.0,2.0,1,2,1866859.57
7.0,1.0,1.0,0,2,310438.78
5.0,7.0,3.0,1,1,1415357.55
4.0,1.0,4.0,1,2,269383.74
7.0,2.0,1.0,2,2,882238.34
4.0,6.0,4.0,0,2,972072.37
6.0,2.0,1.0,2,0,467424.54
4.0,4.0,1.0,2,0,489873.18
6.0,1.0,1.0,1,0,161735.17
4.0,7.0,4.0,1,2,1354588.99
3.0,5.0,4.0,2,2,1002979.98
8.0,3.0,1.0,0,1,669542.67
9.0,1.0,2.0,1,0,242320.78
6.0,1.0,1.0,1,1,243235.65
8.0,1.0,4.0,1,0,287365.5
7.0,6.0,4.0,2,0,1541387.97
5.0,3.0,1.0,1,2,733249.7
6.0,6.0,1.0,1,2,1844491.53
4.0,3.0,1.0,2,1,563525.52
3.0,6.0,2.0,0,2,706243.12
8.0,7.0,4.0,2,1,2380008.03
3.0,1.0,2.0,2,0,163444.47
7.0,1.0,1.0,0,0,166045.83
6.0,3.0,2.0,2,2,1085314.18
4.0,7.0,3.0,1,1,1043163.03
9.0,2.0,4.0,2,0,690574.36
9.0,4.0,4.0,1,1,1430900.14
1.0,6.0,4.0,0,2,283474.01
4.0,4.0,1.0,1,0,415174.87
5.0,6.0,2.0,2,2,2041647.47
5.0,6.0,1.0,1,2,1459874.2
6.0,3.0,1.0,2,0,675495.35
6.0,5.0,1.0,0,2,1201903.46
3.0,4.0,4.0,0,2,530627.11
3.0,6.0,1.0,2,1,881206.59
1.0,6.0,2.0,2,1,332464.45
7.0,5.0,4.0,1,1,1324061.75
9.0,4.0,3.0,1,0,942236.4
6.0,3.0,4.0,1,2,891431.91
4.0,1.0,3.0,1,1,212039.33
5.0,6.0,4.0,0,1,823291.63
1.0,4.0,2.0,1,0,148567.74
4.0,1.0,4.0,1,2,306598.32
1.0,1.0,3.0,2,1,152085.02
6.0,4.0,2.0,0,0,499927.09
2.0,7.0,1.0,2,2,822867.62
6.0,2.0,3.0,2,1,653480.09
7.0,6.0,4.0,1,0,1168434.62
1.0,2.0,3.0,1,0,92966.21
9.0,1.0,3.0,2,0,277271.55
7.0,2.0,3.0,2,0,517129.93
1.0,5.0,3.0,0,2,248109.73
7.0,5.0,2.0,1,2,1726462.84
6.0,7.0,4.0,2,1,1845634.71
9.0,3.0,2.0,1,2,1503986.82
9.0,6.0,3.0,1,2,2484575.44
4.0,6.0,3.0,0,0,472006.04
4.0,6.0,4.0,2,1,1299493.83
8.0,3.0,2.0,2,2,1315308.05
2.0,2.0,1.0,0,0,92869.21
3.0,5.0,4.0,2,1,971938.41
3.0,1.0,3.0,1,2,236486.57
7.0,2.0,2.0,2,2,875806.33
2.0,3.0,1.0,1,0,169606.85
1.0,3.0,3.0,1,1,168414.53
7.0,4.0,1.0,1,0,673239.08
4.0,2.0,1.0,0,1,230089.5
1.0,6.0,4.0,1,2,410896.93
3.0,3.0,2.0,2,2,643814.41
8.0,7.0,2.0,2,0,1656827.01
6.0,5.0,1.0,1,1,1141774.88
6.0,4.0,4.0,2,2,1322577.78
3.0,7.0,4.0,1,1,793837.32
4.0,6.0,4.0,1,0,648110.67
5.0,7.0,4.0,1,0,903156.45
8.0,3.0,2.0,0,2,883912.46
2.0,6.0,1.0,0,2,470367.91
5.0,2.0,1.0,2,0,330695.51
4.0,7.0,2.0,2,0,1102570.42
6.0,5.0,4.0,2,0,1202353.1
7.0,7.0,1.0,2,2,2588196.61
6.0,4.0,4.0,1,2,1209949.74
1.0,4.0,2.0,1,0,133149.05
7.0,6.0,3.0,0,0,865846.37
6.0,2.0,1.0,0,0,267549.38
1.0,1.0,3.0,0,2,105381.74
5.0,3.0,4.0,1,1,549222.04
1.0,1.0,3.0,1,2,140486.05
1.0,6.0,3.0,0,2,311090.08
9.0,5.0,4.0,2,2,3028092.75
3.0,3.0,3.0,2,0,352605.97
2.0,5.0,3.0,1,2,583542.51
8.0,7.0,2.0,1,2,2891941.17
3.0,7.0,2.0,1,0,523558.43
5.0,5.0,4.0,0,0,615585.72
8.0,1.0,3.0,2,1,477426.36
9.0,7.0,4.0,0,2,2370943.01
9.0,6.0,4.0,0,1,1599426.72
9.0,7.0,2.0,1,0,1722098.38
6.0,7.0,3.0,1,1,1338712.35
6.0,3.0,2.0,2,2,1111093.76
3.0,1.0,2.0,2,0,141751.92
5.0,2.0,4.0,1,1,442072.0
5.0,2.0,3.0,2,1,577886.58
2.0,5.0,4.0,0,2,466667.69
9.0,5.0,4.0,1,1,1716356.72
7.0,3.0,2.0,0,2,701679.51
9.0,4.0,2.0,2,2,2270252.01
4.0,2.0,2.0,2,0,302643.93
5.0,4.0,2.0,0,0,390670.61
6.0,7.0,3.0,0,2,1487786.7
6.0,2.0,1.0,0,2,421906.35
9.0,2.0,1.0,2,2,1100427.29
8.0,4.0,2.0,1,2,1411696.44
2.0,4.0,4.0,1,1,417049.35
5.0,3.0,3.0,0,0,355415.88
4.0,5.0,2.0,1,2,944204.48
2.0,2.0,2.0,1,0,118873.89
2.0,5.0,2.0,0,2,406315.62
5.0,7.0,1.0,2,2,2258979.96
8.0,5.0,3.0,1,1,1392582.37
2.0,2.0,2.0,0,2,182025.92
5.0,3.0,4.0,1,1,513442.38
8.0,2.0,1.0,0,1,510790.2
2.0,7.0,2.0,0,2,557444.35
8.0,2.0,2.0,0,1,443712.24
7.0,6.0,2.0,1,0,1185471.25
1.0,6.0,1.0,1,1,227597.89
1.0,1.0,2.0,1,2,103199.2
5.0,7.0,4.0,0,0,784435.54
5.0,3.0,3.0,0,0,328254.35
2.0,6.0,4.0,1,2,788379.53
5.0,7.0,3.0,1,0,856774.75
8.0,1.0,2.0,1,2,519877.8
9.0,2.0,3.0,2,0,632728.52
6.0,2.0,4.0,0,1,422415.51
8.0,1.0,3.0,0,1,291237.91
1.0,4.0,1.0,0,0,83832.18
8.0,2.0,1.0,2,0,594461.56
4.0,3.0,4.0,2,2,956964.32
8.0,6.0,2.0,0,1,1365540.69
7.0,4.0,4.0,0,1,931720.84
4.0,4.0,3.0,1,1,638819.32
3.0,6.0,1.0,0,2,622233.94
2.0,4.0,4.0,1,0,279393.67
4.0,5.0,3.0,2,1,1101579.01
6.0,7.0,3.0,1,1,1309714.12
3.0,1.0,1.0,1,1,132053.72
6.0,2.0,3.0,0,2,522245.82
3.0,3.0,4.0,0,2,441961.05
6.0,2.0,4.0,2,1,640784.16
1.0,4.0,4.0,0,0,123338.84
3.0,2.0,4.0,2,0,271962.5
8.0,4.0,1.0,0,0,609552.08
3.0,5.0,1.0,1,2,726314.53
5.0,1.0,4.0,2,0,259399.61
2.0,6.0,3.0,2,2,817228.63
2.0,5.0,1.0,2,1,450685.51
4.0,2.0,1.0,0,2,282477.36
6.0,6.0,3.0,2,1,1477976.62
8.0,5.0,4.0,1,0,1126871.09
8.0,1.0,3.0,2,2,621001.41
6.0,6.0,3.0,1,2,1890339.57
4.0,1.0,1.0,1,1,137670.33
3.0,5.0,2.0,2,1,799495.83
1.0,6.0,3.0,1,2,425038.84
1.0,6.0,4.0,0,0,199010.94
8.0,4.0,2.0,2,0,1062176.64
1.0,3.0,3.0,2,1,222606.21
3.0,2.0,4.0,0,1,249437.2
1.0,6.0,3.0,2,1,332926.37
6.0,1.0,2.0,1,1,232553.85
2.0,2.0,1.0,2,0,165472.49
8.0,3.0,4.0,1,2,1164458.09
5.0,5.0,2.0,0,2,1053613.71
8.0,7.0,2.0,2,0,2039876.93
7.0,7.0,3.0,2,1,1922458.33
4.0,5.0,1.0,2,0,633878.62
4.0,2.0,3.0,0,1,282862.22
7.0,3.0,2.0,0,1,628403.53
3.0,5.0,1.0,1,0,405136.65
9.0,5.0,4.0,1,1,1449139.65
8.0,3.0,3.0,1,2,1087661.56
1.0,7.0,4.0,1,2,394167.26
7.0,3.0,2.0,2,1,996026.3
4.0,7.0,4.0,2,2,1887838.42
8.0,1.0,1.0,1,0,222235.38
5.0,2.0,3.0,2,2,712512.74
3.0,7.0,3.0,1,2,1092942.38
3.0,5.0,2.0,2,2,1014277.81
8.0,7.0,4.0,0,0,1248008.81
8.0,1.0,2.0,2,2,614058.64
1.0,1.0,4.0,1,0,102185.8
7.0,2.0,1.0,0,0,270843.73
3.0,2.0,3.0,1,0,185840.83
5.0,3.0,2.0,2,0,361868.97
2.0,3.0,3.0,2,0,280881.5
1.0,5.0,2.0,1,0,168312.64
8.0,5.0,4.0,0,2,1515361.28
6.0,2.0,3.0,2,1,503789.59
8.0,4.0,3.0,0,2,1178191.09
8.0,4.0,2.0,2,0,1109843.76
4.0,7.0,1.0,2,2,1696313.87
5.0,5.0,2.0,1,2,1274255.81
3.0,6.0,4.0,2,0,640256.59
2.0,7.0,4.0,2,1,828297.31
6.0,7.0,1.0,0,0,828915.13
1.0,7.0,4.0,0,2,325507.13
8.0,2.0,4.0,2,2,1117985.25
5.0,3.0,2.0,1,0,418095.41
9.0,4.0,4.0,0,1,1162425.72
6.0,5.0,2.0,1,1,1135717.94
2.0,6.0,2.0,2,1,635196.25
7.0,4.0,2.0,2,1,1622244.67
5.0,6.0,4.0,2,0,1136147.14
8.0,6.0,2.0,0,0,990906.92
5.0,2.0,3.0,2,1,563133.91
7.0,3.0,3.0,0,0,414670.52
1.0,1.0,4.0,2,1,168450.56
1.0,5.0,2.0,2,0,179833.42
9.0,7.0,3.0,1,0,1705657.36
5.0,2.0,3.0,2,0,399070.45
1.0,5.0,4.0,2,0,255198.05
5.0,5.0,3.0,2,0,845978.97
2.0,1.0,2.0,2,2,186654.06
4.0,6.0,1.0,0,1,686591.85
4.0,7.0,2.0,2,2,1614566.17
6.0,6.0,3.0,2,2,2227534.72
4.0,3.0,4.0,1,2,619918.68
9.0,7.0,4.0,0,0,1371592.03
7.0,5.0,4.0,0,2,1403097.71
7.0,6.0,1.0,2,1,2097963.6
6.0,1.0,1.0,0,2,237870.63
1.0,6.0,3.0,1,1,310519.45
8.0,7.0,4.0,0,2,2109084.2
9.0,5.0,1.0,1,0,1054240.04
5.0,3.0,2.0,1,0,390086.5
4.0,7.0,2.0,1,0,661730.23
4.0,2.0,3.0,0,2,369969.15
2.0,4.0,2.0,0,1,257602.05
2.0,3.0,1.0,0,2,255394.12
4.0,7.0,1.0,2,1,1295171.67
9.0,3.0,1.0,0,0,533845.79
