floors,rooms_per_floor,location,quality,cost
1.0,2.0,2,2,35686.34
2.0,10.0,1,2,344452.08
5.0,10.0,1,1,517214.19
6.0,14.0,2,1,1118977.15
9.0,6.0,1,2,824803.79
3.0,8.0,0,2,285744.26
3.0,10.0,2,1,402322.7
1.0,13.0,2,0,146241.58
8.0,14.0,0,2,1486728.31
1.0,2.0,2,0,16692.24
2.0,7.0,1,0,101479.45
4.0,11.0,0,0,291694.11
1.0,14.0,2,1,172310.99
1.0,12.0,2,2,225714.39
6.0,14.0,1,2,1385981.28
6.0,8.0,0,1,412283.09
8.0,5.0,1,1,437943.34
8.0,6.0,1,1,491598.19
3.0,6.0,0,1,143032.3
3.0,7.0,2,1,304112.92
9.0,9.0,2,1,1057729.52
3.0,14.0,2,0,415042.7
2.0,14.0,1,2,463644.61
8.0,7.0,1,2,754756.09
2.0,11.0,2,2,412007.25
9.0,5.0,0,2,507207.79
5.0,12.0,1,2,826675.7
3.0,7.0,0,0,125062.94
7.0,14.0,1,0,767690.09
3.0,4.0,0,1,111471.17
4.0,5.0,2,2,340713.28
2.0,4.0,0,0,50546.79
3.0,3.0,1,0,71471.03
6.0,2.0,0,1,99083.3
1.0,4.0,1,0,32583.38
9.0,9.0,1,2,1116983.62
1.0,2.0,0,0,13407.38
8.0,8.0,1,1,694308.48
3.0,10.0,0,0,205237.74
4.0,14.0,2,1,819592.58
8.0,13.0,2,2,2048769.63
2.0,6.0,0,0,76999.65
3.0,9.0,1,0,234309.06
8.0,8.0,1,0,564649.79
5.0,13.0,2,1,965853.87
3.0,14.0,2,1,600257.33
3.0,3.0,1,0,71881.49
1.0,8.0,0,2,104870.3
7.0,12.0,1,1,859273.13
4.0,13.0,1,2,823201.41
2.0,4.0,1,1,89401.32
8.0,3.0,2,0,242088.49
6.0,7.0,0,2,489369.17
2.0,3.0,1,2,92336.43
7.0,9.0,0,0,392853.69
5.0,13.0,2,0,670835.13
2.0,5.0,1,0,76146.82
1.0,14.0,2,0,144146.57
4.0,13.0,0,2,641706.11
8.0,3.0,2,0,247746.57
7.0,7.0,0,1,451123.19
6.0,5.0,0,0,180111.75
4.0,9.0,1,0,290136.14
6.0,13.0,2,1,1246172.86
1.0,2.0,2,2,37443.99
8.0,7.0,1,0,443047.11
3.0,2.0,1,2,88457.72
5.0,9.0,2,0,451116.45
4.0,7.0,1,1,314367.08
9.0,4.0,1,2,567803.81
9.0,11.0,1,1,1203017.01
3.0,8.0,1,0,204193.61
7.0,11.0,0,0,429615.65
5.0,11.0,2,1,775838.81
9.0,11.0,2,0,1009278.03
2.0,4.0,2,2,166459.8
7.0,11.0,1,1,847705.54
5.0,3.0,2,1,184728.67
7.0,12.0,2,1,1142807.4
4.0,12.0,0,2,612495.42
6.0,13.0,2,2,1547564.56
2.0,5.0,0,2,131240.27
5.0,3.0,0,1,140928.73
8.0,11.0,1,1,907558.3
3.0,14.0,2,1,583987.42
5.0,11.0,1,2,795856.33
4.0,12.0,0,2,612204.22
1.0,6.0,1,2,77252.67
3.0,4.0,2,2,221113.69
7.0,11.0,1,2,1076156.29
7.0,4.0,1,0,249603.44
1.0,12.0,1,2,177819.4
3.0,13.0,2,0,426081.66
9.0,2.0,0,1,153448.76
9.0,6.0,2,0,509915.38
5.0,2.0,1,1,118147.15
2.0,2.0,2,0,42208.75
2.0,3.0,1,2,96214.95
6.0,14.0,1,1,968914.59
4.0,14.0,2,1,847378.1
2.0,8.0,1,0,117747.52
5.0,5.0,0,1,219645.72
5.0,7.0,1,0,290638.97
3.0,14.0,0,2,475011.22
7.0,9.0,2,1,852730.53
9.0,10.0,2,1,1313259.72
1.0,2.0,1,0,15802.09
4.0,12.0,1,1,577715.74
8.0,9.0,2,1,1085120.75
4.0,10.0,1,0,270564.38
1.0,13.0,0,0,79312.24
9.0,7.0,2,2,1164673.25
6.0,12.0,0,2,804563.61
4.0,9.0,2,1,541923.84
1.0,7.0,0,0,41466.34
4.0,3.0,0,0,64397.57
5.0,13.0,1,0,485606.85
1.0,7.0,2,0,76721.5
5.0,14.0,0,1,703580.67
8.0,3.0,1,1,242707.05
2.0,6.0,1,2,182626.53
2.0,8.0,1,1,181439.73
8.0,14.0,2,2,2235666.53
2.0,2.0,2,0,42903.01
7.0,14.0,0,0,679352.57
6.0,4.0,1,2,357370.02
1.0,10.0,2,1,143688.08
5.0,5.0,2,0,216490.07
6.0,11.0,2,2,1321505.67
1.0,6.0,0,2,70261.54
9.0,13.0,0,2,1513752.45
9.0,2.0,1,1,211296.31
1.0,12.0,1,0,108200.55
5.0,13.0,2,1,899884.73
5.0,2.0,2,1,145761.13
9.0,8.0,0,1,646639.1
2.0,9.0,1,2,262141.31
4.0,11.0,2,1,535752.22
3.0,13.0,0,0,265979.27
9.0,13.0,0,2,1468193.23
4.0,6.0,2,1,385578.49
2.0,4.0,0,0,46801.94
8.0,10.0,2,0,863988.74
6.0,11.0,2,2,1305586.57
2.0,5.0,1,2,130337.42
8.0,5.0,1,1,403714.98
7.0,8.0,1,2,866005.3
5.0,12.0,1,2,768661.42
1.0,5.0,0,0,28348.44
9.0,7.0,0,2,890800.82
4.0,3.0,0,0,76093.04
9.0,13.0,1,0,918236.43
8.0,12.0,0,2,1085182.7
3.0,13.0,2,0,413510.37
5.0,14.0,0,0,419753.76
1.0,2.0,0,0,12458.89
5.0,3.0,1,1,162031.36
7.0,7.0,1,2,768841.19
1.0,9.0,0,2,105761.02
4.0,5.0,2,1,327196.79
6.0,3.0,1,0,134333.04
1.0,4.0,1,2,59882.58
4.0,2.0,1,0,61633.34
2.0,10.0,0,2,226374.67
3.0,11.0,1,2,449963.02
4.0,2.0,0,1,69167.49
5.0,9.0,0,2,543174.61
3.0,8.0,0,2,297466.27
5.0,12.0,2,2,1095456.47
6.0,7.0,1,2,679097.11
3.0,10.0,1,1,332036.53
5.0,9.0,1,0,330748.81
2.0,11.0,0,0,150764.46
2.0,8.0,1,2,228510.28
5.0,11.0,0,0,366637.02
3.0,11.0,2,1,477685.06
4.0,6.0,1,2,374873.22
5.0,9.0,0,1,354828.71
3.0,13.0,2,1,531685.49
4.0,7.0,0,0,162231.81
4.0,4.0,0,1,147991.79
4.0,5.0,1,2,299373.82
1.0,12.0,1,2,204799.01
8.0,6.0,2,0,560808.32
8.0,11.0,1,2,1245284.51
1.0,6.0,0,0,45171.39
7.0,10.0,2,0,796301.51
4.0,11.0,2,1,572117.18
5.0,3.0,2,2,270489.67
9.0,7.0,2,1,1007146.92
2.0,11.0,0,1,212830.17
4.0,14.0,0,2,650984.78
6.0,12.0,1,2,1049492.67
7.0,8.0,1,2,888495.38
8.0,14.0,1,2,1765437.2
2.0,5.0,1,2,140531.68
7.0,4.0,0,0,190163.72
3.0,3.0,0,1,72318.93
7.0,9.0,0,2,706388.7
3.0,9.0,1,2,382096.2
8.0,5.0,1,2,612703.5
8.0,4.0,0,2,352931.45
7.0,10.0,1,2,1274630.89
3.0,6.0,1,0,150441.01
9.0,5.0,1,2,723303.2
3.0,3.0,2,1,121249.06
8.0,8.0,1,0,523273.92
9.0,13.0,1,2,1520839.9
6.0,11.0,2,0,769272.42
8.0,14.0,0,1,1023759.51
8.0,13.0,1,2,1531441.94
5.0,13.0,1,0,517922.18
9.0,13.0,0,1,1109940.07
9.0,9.0,0,0,540094.73
8.0,11.0,2,0,1023330.96
6.0,3.0,1,1,221761.97
1.0,2.0,2,0,21860.26
4.0,10.0,1,2,677000.11
9.0,14.0,2,2,2406270.59
5.0,8.0,2,0,414604.61
4.0,13.0,1,1,612544.9
2.0,10.0,0,1,173861.57
1.0,11.0,2,0,119516.4
2.0,14.0,1,2,451142.46
1.0,9.0,0,0,63742.92
1.0,12.0,1,1,135190.32
1.0,10.0,1,2,155619.5
5.0,6.0,2,1,420609.77
6.0,10.0,2,1,789863.86
6.0,5.0,0,2,411979.79
4.0,7.0,2,0,273268.87
7.0,8.0,2,2,1044784.16
5.0,9.0,0,1,377163.45
9.0,4.0,0,0,247953.65
6.0,5.0,0,2,354823.93
5.0,13.0,2,1,918400.72
8.0,12.0,2,2,1866907.49
3.0,10.0,1,2,448918.34
3.0,10.0,1,2,482546.99
9.0,13.0,1,2,1731095.69
7.0,6.0,0,0,295850.92
1.0,2.0,2,0,19694.45
6.0,11.0,0,2,768287.3
1.0,9.0,0,0,56876.29
7.0,13.0,0,2,1137499.44
2.0,12.0,0,0,133684.06
6.0,12.0,1,2,1018179.32
5.0,8.0,2,1,581696.37
8.0,6.0,1,1,521324.03
7.0,6.0,2,2,787270.51
6.0,5.0,1,0,269443.5
2.0,14.0,0,2,317374.25
2.0,9.0,2,2,334115.21
5.0,8.0,1,2,576959.82
7.0,5.0,0,0,229389.59
8.0,13.0,2,0,899718.76
9.0,6.0,0,1,538194.96
2.0,13.0,2,1,381766.69
8.0,4.0,2,0,350757.08
3.0,2.0,2,0,58655.62
6.0,12.0,0,0,505871.34
7.0,7.0,1,0,398981.81
3.0,8.0,1,0,209891.95
9.0,7.0,1,1,614214.72
9.0,11.0,0,0,658445.32
8.0,7.0,0,2,664899.48
6.0,7.0,2,0,424858.35
9.0,12.0,2,0,1153739.75
5.0,6.0,0,1,283156.34
4.0,11.0,0,2,513579.66
2.0,6.0,1,1,124212.81
7.0,5.0,1,2,550093.79
9.0,2.0,2,2,358406.13
7.0,6.0,2,1,574955.46
4.0,14.0,0,0,364890.42
6.0,11.0,2,1,952071.62
9.0,8.0,0,1,671593.13
6.0,10.0,1,2,778467.19
6.0,3.0,2,0,169663.95
1.0,2.0,2,0,19419.28
3.0,11.0,0,0,201362.22
3.0,13.0,2,0,426019.71
5.0,13.0,0,0,413526.45
2.0,12.0,0,1,225196.61
5.0,7.0,1,1,426433.86
4.0,14.0,0,1,496186.57
4.0,6.0,2,1,365997.75
7.0,10.0,2,2,1262903.42
3.0,12.0,0,1,329444.83
2.0,5.0,1,2,156550.27
3.0,3.0,2,2,184640.8
2.0,13.0,1,1,295716.42
9.0,8.0,1,1,942298.22
3.0,12.0,2,1,454990.31
6.0,3.0,1,0,134904.72
8.0,6.0,1,2,746586.28
6.0,12.0,2,0,678758.1
2.0,12.0,2,2,458793.79
9.0,6.0,1,1,602974.58
5.0,8.0,0,1,347443.67
5.0,2.0,1,1,112446.69
5.0,7.0,2,1,420946.15
9.0,7.0,0,2,830920.6
4.0,7.0,1,1,326378.62
6.0,7.0,1,1,476995.28
2.0,11.0,0,0,137516.38
7.0,6.0,0,2,612999.1
6.0,12.0,1,2,1191083.76
7.0,5.0,1,1,371951.17
2.0,2.0,1,1,46763.19
7.0,7.0,1,0,423991.13
5.0,4.0,0,0,123975.6
4.0,8.0,2,1,486151.02
5.0,14.0,2,1,1006731.14
2.0,6.0,1,0,96818.43
3.0,5.0,1,2,238078.53
4.0,8.0,0,1,287139.03
1.0,4.0,1,0,28633.14
4.0,7.0,2,1,429104.09
9.0,8.0,1,0,524126.97
7.0,9.0,1,0,505027.62
7.0,14.0,0,0,636495.22
1.0,5.0,1,0,40482.31
2.0,2.0,0,1,36346.44
2.0,10.0,0,2,221150.33
2.0,7.0,2,0,143278.4
9.0,6.0,2,2,957953.66
6.0,9.0,2,0,551158.03
8.0,12.0,0,0,652253.07
6.0,5.0,2,1,391480.56
4.0,14.0,0,2,692641.83
6.0,5.0,0,2,349001.1
3.0,8.0,2,1,351109.63
8.0,12.0,2,1,1453260.33
8.0,11.0,1,2,1293314.65
8.0,14.0,0,1,949638.37
9.0,10.0,0,0,541857.74
4.0,3.0,1,0,95696.24
9.0,11.0,1,1,1308105.12
4.0,12.0,2,0,519047.67
7.0,6.0,0,0,264496.99
3.0,8.0,1,0,190490.61
4.0,10.0,1,0,345040.66
2.0,5.0,2,2,188311.59
7.0,11.0,0,0,494869.22
1.0,14.0,1,2,201292.55
9.0,11.0,2,0,1047684.6
6.0,10.0,2,0,643385.74
8.0,3.0,1,2,399933.56
3.0,10.0,2,2,512601.19
5.0,11.0,2,0,529869.8
9.0,9.0,1,2,1194452.04
5.0,10.0,2,0,462620.4
9.0,5.0,2,2,896448.54
3.0,10.0,0,0,181693.75
4.0,2.0,0,1,78413.16
6.0,2.0,1,0,88902.47
1.0,3.0,0,0,18518.1
7.0,10.0,1,2,961904.71
3.0,3.0,0,2,111003.27
2.0,3.0,0,2,76353.55
6.0,11.0,0,2,679689.08
1.0,13.0,0,2,142252.12
8.0,13.0,1,1,1176709.24
8.0,8.0,2,1,820119.26
9.0,13.0,2,2,2557906.06
5.0,10.0,1,2,760073.36
5.0,7.0,2,0,350335.38
6.0,14.0,1,0,677469.82
1.0,12.0,1,1,131212.38
9.0,12.0,0,2,1195958.79
9.0,3.0,0,0,181267.24
2.0,4.0,1,1,79087.33
2.0,9.0,1,1,218457.55
4.0,5.0,2,2,392006.33
9.0,10.0,1,1,953841.18
3.0,7.0,2,0,215622.36
4.0,7.0,0,2,329251.5
1.0,7.0,2,0,70312.24
1.0,9.0,0,2,104731.63
8.0,11.0,2,1,1305748.82
2.0,4.0,1,2,121507.08
5.0,9.0,2,2,879981.6
5.0,12.0,2,0,605514.67
3.0,9.0,2,1,403431.66
8.0,4.0,2,1,513254.46
3.0,10.0,0,0,192429.62
8.0,7.0,0,2,632632.54
2.0,13.0,1,2,467122.36
6.0,10.0,0,2,769679.43
1.0,7.0,0,0,50786.05
9.0,14.0,0,2,1674177.12
1.0,3.0,1,0,22100.74
4.0,2.0,2,2,165499.29
8.0,3.0,2,1,328675.47
6.0,7.0,1,2,687310.61
7.0,7.0,2,2,904699.39
8.0,7.0,0,2,570269.34
9.0,6.0,0,0,378822.86
5.0,6.0,1,1,353427.88
8.0,11.0,1,2,1336319.06
4.0,13.0,2,1,721697.76
3.0,7.0,1,0,164166.81
8.0,12.0,0,0,664960.16
9.0,10.0,0,2,1088741.15
7.0,5.0,0,0,216479.8
1.0,3.0,2,0,30562.34
5.0,4.0,2,2,377516.68
4.0,9.0,0,2,455295.45
3.0,4.0,0,1,117848.25
1.0,3.0,2,2,63210.78
5.0,12.0,2,1,878588.38
7.0,6.0,1,1,489526.71
8.0,14.0,2,2,2172710.23
5.0,7.0,1,1,342968.34
6.0,3.0,0,2,265888.91
7.0,14.0,1,0,875518.52
1.0,10.0,0,1,92611.85
4.0,3.0,2,0,122281.82
8.0,9.0,2,1,871961.69
1.0,13.0,1,1,153449.75
4.0,14.0,0,2,617010.99
1.0,12.0,0,0,75109.84
7.0,9.0,0,0,401302.98
2.0,11.0,0,0,140051.51
4.0,10.0,2,2,882192.7
4.0,14.0,2,1,925902.98
9.0,2.0,2,2,295087.54
7.0,5.0,0,1,300939.86
2.0,6.0,2,1,198997.78
8.0,3.0,1,0,182199.65
5.0,9.0,0,1,426334.13
1.0,3.0,0,2,35783.09
4.0,10.0,1,0,325806.4
2.0,13.0,1,2,422072.52
7.0,4.0,0,0,197181.28
8.0,7.0,2,1,818373.39
4.0,11.0,1,0,334176.1
3.0,13.0,2,2,922491.12
5.0,5.0,1,0,200498.13
1.0,4.0,0,1,35425.44
6.0,6.0,0,1,351691.39
2.0,2.0,1,2,55631.42
8.0,11.0,2,1,1198875.2
1.0,9.0,0,0,54551.13
9.0,7.0,0,2,785605.91
9.0,14.0,1,1,1494801.89
5.0,14.0,0,2,924184.47
2.0,5.0,1,1,117949.06
4.0,14.0,1,1,731496.48
1.0,12.0,0,1,106316.08
2.0,7.0,1,0,111606.02
6.0,6.0,1,0,246997.81
6.0,3.0,0,1,147920.82
7.0,4.0,1,0,234963.14
6.0,10.0,0,0,397189.77
1.0,8.0,1,1,82654.47
4.0,10.0,0,2,475814.81
6.0,8.0,0,0,304994.76
9.0,9.0,0,2,954475.51
8.0,12.0,1,1,1172349.5
4.0,10.0,1,1,404368.23
4.0,10.0,2,2,794832.75
7.0,7.0,1,2,791283.74
9.0,7.0,1,1,736714.55
5.0,7.0,1,0,250547.99
1.0,5.0,2,0,49011.32
1.0,12.0,0,1,107910.87
1.0,13.0,1,1,150527.2
9.0,5.0,2,1,693426.9
7.0,12.0,2,2,1680967.38
2.0,11.0,0,0,151169.17
4.0,9.0,1,1,467811.97
2.0,10.0,0,1,180400.99
3.0,9.0,2,0,280841.42
2.0,3.0,0,1,54171.59
5.0,12.0,2,2,1067118.98
4.0,12.0,2,1,726088.08
2.0,2.0,0,0,25508.73
3.0,10.0,1,1,319361.53
6.0,7.0,2,1,543901.51
6.0,5.0,0,1,253549.93
2.0,2.0,2,2,79493.2
2.0,8.0,0,2,188544.33
3.0,7.0,1,0,160158.37
2.0,8.0,1,1,181401.87
7.0,3.0,1,2,305132.91
8.0,14.0,0,1,966318.96
2.0,8.0,0,2,178333.18
4.0,3.0,2,2,243738.63
1.0,6.0,1,1,66966.08
3.0,3.0,2,2,191458.9
7.0,8.0,0,1,515840.26
9.0,6.0,0,0,356293.36
6.0,7.0,2,0,414836.1
6.0,12.0,2,2,1399622.95
3.0,7.0,0,0,152475.41
9.0,2.0,1,1,193395.39
8.0,5.0,0,2,498842.88
5.0,13.0,1,2,903202.16
5.0,3.0,0,1,120576.1
6.0,7.0,0,2,485609.69
9.0,5.0,2,2,905402.9
5.0,10.0,1,2,824907.89
1.0,5.0,0,2,65642.93
3.0,7.0,0,0,127736.6
6.0,2.0,0,1,93526.76
5.0,14.0,1,0,537930.86
7.0,4.0,1,2,408831.45
5.0,2.0,1,2,143711.78
9.0,8.0,0,1,679635.71
4.0,7.0,0,0,146619.43
5.0,4.0,1,0,179364.84
1.0,10.0,1,2,145004.89
4.0,9.0,0,0,231136.44
6.0,10.0,2,0,735607.2
5.0,14.0,0,2,785595.87
3.0,2.0,0,1,50256.6
6.0,4.0,0,2,298811.36
1.0,2.0,0,0,10653.06
8.0,6.0,0,1,436547.09
7.0,14.0,2,2,2086669.43
4.0,6.0,2,2,451856.51
8.0,2.0,0,0,110244.03
2.0,3.0,0,0,34426.5
1.0,11.0,2,1,159922.81
1.0,9.0,2,0,95343.49
1.0,13.0,2,1,190413.81
3.0,5.0,1,2,253334.42
7.0,5.0,0,0,222705.8
2.0,10.0,0,0,118999.73
6.0,5.0,0,0,183707.23
8.0,12.0,2,0,954523.49
1.0,14.0,0,1,119390.13
2.0,4.0,1,2,130421.65
7.0,13.0,1,0,668570.16
4.0,2.0,0,0,46219.78
3.0,14.0,2,1,592960.04
9.0,7.0,1,2,879719.02
1.0,13.0,2,0,131017.32
2.0,9.0,1,2,259493.1
3.0,2.0,1,1,62836.61
6.0,6.0,1,0,283213.24
9.0,13.0,2,1,1782462.66
3.0,2.0,1,2,97741.22
1.0,11.0,1,2,164166.36
9.0,5.0,2,1,592488.75
5.0,12.0,0,2,698939.48
7.0,6.0,2,2,796819.58
5.0,7.0,0,1,334837.38
8.0,9.0,2,1,915205.52
8.0,6.0,1,0,388592.43
5.0,12.0,1,1,588988.01
3.0,10.0,1,2,485879.55
9.0,7.0,1,1,711904.89
7.0,7.0,0,2,678702.36
6.0,7.0,1,2,561265.43
8.0,13.0,0,2,1261303.19
5.0,3.0,0,0,98275.58
4.0,9.0,1,0,297577.37
5.0,6.0,0,1,268102.8
6.0,4.0,0,1,219378.15
7.0,4.0,1,1,319901.32
5.0,9.0,2,1,642280.67
7.0,12.0,2,1,1257083.38
4.0,13.0,0,0,270595.92
1.0,3.0,0,2,38242.94
7.0,9.0,1,0,503611.09
9.0,9.0,0,0,490022.75
1.0,14.0,1,1,141256.26
6.0,13.0,0,2,951956.18
3.0,5.0,1,0,118026.94
1.0,4.0,1,1,41678.42
6.0,7.0,1,0,324790.13
6.0,10.0,0,1,517871.12
9.0,8.0,0,1,671261.64
2.0,3.0,0,1,48842.47
9.0,8.0,2,1,1121926.43
6.0,3.0,1,1,188375.23
2.0,5.0,2,1,149165.94
8.0,10.0,2,1,1163794.46
3.0,5.0,0,0,89638.86
3.0,8.0,0,0,139149.68
1.0,12.0,2,2,209335.5
5.0,11.0,2,1,777584.44
4.0,11.0,1,2,674023.12
2.0,14.0,0,0,173399.32
2.0,13.0,2,0,253768.54
8.0,8.0,2,1,945101.23
8.0,11.0,0,2,1111818.22
2.0,4.0,2,1,118529.15
3.0,4.0,1,2,189015.14
3.0,10.0,0,0,200648.91
1.0,5.0,2,1,67916.65
8.0,2.0,2,1,244990.91
4.0,3.0,2,1,158606.2
5.0,11.0,0,1,439180.86
6.0,2.0,2,2,224297.74
4.0,10.0,1,2,586129.97
8.0,14.0,0,2,1358878.43
7.0,7.0,1,2,675701.75
4.0,14.0,2,2,1106833.36
3.0,6.0,0,1,151318.58
9.0,6.0,0,0,345542.62
3.0,3.0,1,1,100353.45
7.0,3.0,1,2,338280.37
6.0,6.0,2,2,621321.74
6.0,4.0,2,0,243236.92
3.0,3.0,0,2,96773.46
8.0,8.0,0,1,561795.08
1.0,9.0,1,1,92400.06
4.0,11.0,0,1,395061.27
4.0,13.0,2,2,1005601.6
7.0,13.0,1,0,800622.77
9.0,10.0,0,1,887723.07
3.0,12.0,0,2,407965.76
1.0,10.0,2,0,121561.63
8.0,12.0,0,0,688154.84
3.0,13.0,0,1,326110.19
1.0,6.0,0,1,49015.23
5.0,4.0,1,0,176468.43
7.0,6.0,0,1,387395.55
3.0,4.0,2,2,246245.39
5.0,4.0,2,1,268272.03
6.0,6.0,1,2,536849.11
5.0,12.0,0,1,545759.86
8.0,5.0,2,2,744740.82
8.0,9.0,1,0,571644.44
9.0,5.0,0,2,567169.17
5.0,8.0,0,1,422646.24
2.0,4.0,2,1,115828.28
3.0,2.0,2,0,64132.01
3.0,9.0,0,2,301233.3
5.0,5.0,0,0,155649.96
1.0,7.0,2,0,78330.74
8.0,2.0,0,0,102858.68
7.0,3.0,0,2,241690.76
6.0,11.0,2,0,750920.27
5.0,12.0,0,1,513338.65
2.0,3.0,2,1,79142.36
2.0,6.0,0,2,139148.77
8.0,14.0,0,0,765754.73
5.0,2.0,0,0,64396.36
3.0,2.0,0,2,72928.91
7.0,9.0,0,0,383587.22
2.0,9.0,2,2,367841.74
4.0,5.0,0,2,214657.96
5.0,11.0,0,2,655398.03
7.0,7.0,2,0,450685.62
4.0,5.0,0,2,239523.78
8.0,10.0,2,2,1388052.55
1.0,11.0,2,2,202332.41
7.0,8.0,1,0,426655.65
7.0,11.0,0,2,876409.87
3.0,6.0,2,1,251769.14
7.0,12.0,2,1,1141263.72
7.0,13.0,0,2,1066070.81
5.0,12.0,2,0,569875.26
4.0,5.0,0,2,244209.02
3.0,14.0,2,2,875132.19
4.0,10.0,2,1,577344.1
4.0,6.0,0,0,135608.08
1.0,9.0,2,2,198242.6
2.0,12.0,0,0,151602.77
5.0,11.0,0,1,461140.36
7.0,2.0,0,0,80230.48
7.0,13.0,2,1,1180472.82
2.0,4.0,0,0,55769.18
8.0,7.0,1,1,674262.93
5.0,13.0,1,1,755918.66
2.0,13.0,1,0,220887.11
7.0,11.0,2,0,673265.34
1.0,11.0,0,1,87923.91
7.0,5.0,2,1,524471.29
1.0,3.0,2,1,48309.54
7.0,4.0,2,1,409161.68
6.0,11.0,2,1,842419.66
4.0,14.0,2,2,1042602.28
6.0,14.0,2,0,832196.68
5.0,2.0,2,1,125817.32
8.0,11.0,0,0,490374.39
8.0,2.0,2,1,227220.7
4.0,12.0,1,0,405063.8
8.0,13.0,0,0,677085.98
1.0,3.0,1,1,36294.13
5.0,4.0,0,2,217134.31
1.0,2.0,1,1,23270.73
9.0,4.0,2,0,359117.97
3.0,14.0,2,1,590653.93
2.0,14.0,0,2,359817.55
3.0,7.0,0,2,233639.73
8.0,11.0,0,0,593418.62
6.0,7.0,2,0,459730.47
4.0,10.0,1,1,417645.3
1.0,3.0,0,2,40201.54
2.0,13.0,0,2,264651.14
5.0,2.0,2,1,126889.85
6.0,12.0,1,2,1160563.56
2.0,9.0,0,0,117288.42
8.0,13.0,1,0,829878.14
4.0,12.0,2,2,907194.97
9.0,10.0,2,0,907702.33
7.0,7.0,1,0,422040.88
1.0,13.0,2,1,186863.69
7.0,13.0,2,0,945700.73
8.0,7.0,0,1,486129.2
6.0,11.0,0,1,596837.76
2.0,4.0,1,2,116028.73
9.0,9.0,1,1,893786.48
2.0,2.0,1,0,28439.33
9.0,12.0,2,2,2442693.84
9.0,2.0,2,2,373129.64
6.0,7.0,0,2,473388.93
3.0,9.0,2,1,387158.54
9.0,13.0,2,2,2177799.61
2.0,8.0,2,2,303983.48
9.0,7.0,2,1,878033.05
6.0,7.0,2,0,400465.94
1.0,7.0,2,2,136395.29
3.0,11.0,2,1,437983.02
6.0,13.0,0,0,471481.56
9.0,8.0,0,2,822174.49
7.0,4.0,0,2,365187.65
7.0,5.0,0,0,211966.17
4.0,5.0,2,1,293742.81
4.0,12.0,2,0,578214.57
7.0,8.0,0,1,455358.98
7.0,4.0,0,0,148117.32
4.0,14.0,1,2,877439.84
2.0,10.0,1,1,220558.71
3.0,9.0,1,0,210952.1
3.0,5.0,1,1,165187.12
6.0,11.0,0,1,644089.68
9.0,8.0,0,1,640382.48
9.0,12.0,2,1,1531722.55
2.0,2.0,2,2,66665.79
6.0,14.0,2,1,1149260.91
7.0,8.0,0,2,728964.1
9.0,7.0,1,2,884425.44
1.0,9.0,0,2,115501.12
5.0,12.0,2,2,1214403.75
8.0,6.0,2,2,917574.5
1.0,3.0,1,1,36694.64
3.0,13.0,0,0,258310.27
8.0,6.0,1,1,602282.99
7.0,5.0,0,2,437241.63
7.0,7.0,1,2,806146.33
